130260302H;Igarape_do_Mindu;MANAUS;AM;-3.091.422;-60.015.121;52
130260303H;Igarape_do_Mindu;MANAUS;AM;-3.051.597;-59.950.703;0
150010701A;São_Lourenço;ABAETETUBA;PA;-1.723.155;-48.879.321;384.000
150010702A;Francilândia;ABAETETUBA;PA;-1.707.738;-48.876.747;375.200
150010703A;Mutirão;ABAETETUBA;PA;-1.724.433;-48.864.175;356.600
150040401A;Centro;ALENQUER;PA;-1.949.501;-54.744.331;228.600
150040402A;Independência;ALENQUER;PA;-1.941.579;-54.718.514;222.000
150050302A;Palhal;ALMEIRIM;PA;-1.528.711;-52.582.183;297.800
150060202A;Brasília;ALTAMIRA;PA;-3.199.942;-52.203.749;226.200
150060203A;Preme;ALTAMIRA;PA;-3.213.881;-52.220.173;271.000
150120401A;Centro;BAIÃO;PA;-2.789;-49.673;425.600
150140201A;Ilha_do_Mosqueiro;BELÉM;PA;-1.067;-48.379;449.000
150140202H;Igarape_Una;BELÉM;PA;-1.436.539;-48.477.944;68.600
150140203A;Terra_Firme;BELÉM;PA;-1.450.385;-48.446.255;251.200
150140204A;Nazaré;BELÉM;PA;-1.449.707;-48.482.217;318.000
150140205A;Ilha_Outeiro;BELÉM;PA;-1.249.272;-48.457.779;356.600
150140206A;Icoaraci;BELÉM;PA;-1.308.735;-48.479.847;380.000
150140208A;Cremação;BELÉM;PA;-1.468.867;-48.481.624;283.200
150140209A;Guamá;BELÉM;PA;-1.466.283;-48.464.282;59.200
150140210A;Pedreira;BELÉM;PA;-1.422.716;-48.468.028;323.400
150170901A;Taira;BRAGANÇA;PA;-1.060.666;-46.783.468;317.000
150215201A;USF_Novo_Brasil;CANAÃ_DOS_CARAJÁS;PA;-651.951;-4.985.925;98.200
150295401A;Prefeitura_Municipal;ELDORADO_DOS_CARAJÁS;PA;-61.032;-493.719;312.600
150310101A;Centro;GURUPÁ;PA;-1.410.276;-51.636.747;364.600
150350701A;Centro;IRITUIA;PA;-1.771;-47.437;0
150350702A;Unidade_de_Saúde_da_Família_KM14;IRITUIA;PA;-1.743;-47.502;336.200
